,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
5342,Gateway,Gateway,AK,Alaska,2170,Matanuska-Susitna,61.5737,-149.2389,7037,126.0,polygon,False,False,America/Anchorage,3,99645 99654,1840023654
5499,Sitka,Sitka,AK,Alaska,2220,Sitka,57.2401,-135.3153,6720,1.0,polygon,False,True,America/Sitka,3,99835,1840023319
5784,Fishhook,Fishhook,AK,Alaska,2170,Matanuska-Susitna,61.711,-149.2657,6203,33.0,polygon,False,True,America/Anchorage,3,99645 99654,1840037578
5939,Homer,Homer,AK,Alaska,2122,Kenai Peninsula,59.653,-151.5255,5922,165.0,polygon,False,True,America/Anchorage,3,99603,1840023419
5950,Chena Ridge,Chena Ridge,AK,Alaska,2090,Fairbanks North Star,64.7941,-148.0357,5903,62.0,polygon,False,True,America/Anchorage,3,99709,1840075179
6190,Farmers Loop,Farmers Loop,AK,Alaska,2090,Fairbanks North Star,64.9061,-147.6957,5535,98.0,polygon,False,True,America/Anchorage,3,99712,1840075181
6276,Kenai,Kenai,AK,Alaska,2122,Kenai Peninsula,60.5619,-151.1985,5411,103.0,polygon,False,True,America/Anchorage,3,99611,1840023421
6344,Sterling,Sterling,AK,Alaska,2122,Kenai Peninsula,60.5405,-150.8089,5321,26.0,polygon,False,False,America/Anchorage,3,99672 99669,1840023417
6726,Bethel,Bethel,AK,Alaska,2050,Bethel,60.7928,-161.7917,4803,57.0,polygon,False,True,America/Anchorage,3,99559,1840023353
6937,Nikiski,Nikiski,AK,Alaska,2122,Kenai Peninsula,60.7152,-151.2317,4575,25.0,polygon,False,False,America/Anchorage,3,99611 99635,1840023615
7041,Utqiagvik,Utqiagvik,AK,Alaska,2185,North Slope,71.2728,-156.7575,4467,91.0,polygon,False,True,America/Anchorage,3,99723,1840023481
7076,Unalaska,Unalaska,AK,Alaska,2016,Aleutians West,53.8984,-166.568,4432,16.0,polygon,False,True,America/Nome,3,99692 99685,1840023260
7120,Goldstream,Goldstream,AK,Alaska,2090,Fairbanks North Star,64.9339,-148.0083,4389,19.0,polygon,False,True,America/Anchorage,3,99709 99708 99725,1840075196
7617,Butte,Butte,AK,Alaska,2170,Matanuska-Susitna,61.5539,-149.0035,3929,44.0,polygon,False,False,America/Anchorage,3,99645,1840023368
7690,Valdez,Valdez,AK,Alaska,2261,Valdez-Cordova,61.0963,-146.2596,3855,6.0,polygon,False,True,America/Anchorage,3,99686,1840023396
8158,Nome,Nome,AK,Alaska,2180,Nome,64.5213,-165.4053,3466,116.0,polygon,False,True,America/Nome,3,99762,1840023510
8488,Kotzebue,Kotzebue,AK,Alaska,2188,Northwest Arctic,66.8766,-162.5231,3245,50.0,polygon,False,True,America/Nome,3,99752,1840023494
8695,Petersburg,Petersburg,AK,Alaska,2195,Petersburg Borough,56.7566,-132.8727,3106,27.0,polygon,False,False,America/Sitka,3,99833,1840023308
8874,Eielson AFB,Eielson AFB,AK,Alaska,2090,Fairbanks North Star,64.6741,-147.0605,2979,38.0,polygon,True,True,America/Anchorage,3,99702,1840037568
9166,Seward,Seward,AK,Alaska,2122,Kenai Peninsula,60.1124,-149.3925,2796,77.0,polygon,False,True,America/Anchorage,3,99664,1840023423
9214,Big Lake,Big Lake,AK,Alaska,2170,Matanuska-Susitna,61.526,-149.972,2765,9.0,polygon,False,False,America/Anchorage,3,99652,1840023666
9497,Ridgeway,Ridgeway,AK,Alaska,2122,Kenai Peninsula,60.5305,-151.0301,2617,60.0,polygon,False,False,America/Anchorage,3,99611 99669,1840023687
9507,Deltana,Deltana,AK,Alaska,2240,Southeast Fairbanks,63.8724,-145.2158,2613,1.0,polygon,False,True,America/Anchorage,3,99737 99731,1840075067
9742,Wrangell,Wrangell,AK,Alaska,2275,Wrangell,56.3317,-132.0223,2502,0.0,polygon,False,True,America/Sitka,3,99903 99929,1840000416
9927,Houston,Houston,AK,Alaska,2170,Matanuska-Susitna,61.6159,-149.8003,2412,38.0,polygon,False,True,America/Anchorage,3,99694 99652,1840023378
10034,Dillingham,Dillingham,AK,Alaska,2070,Dillingham,59.055,-158.5379,2360,27.0,polygon,False,True,America/Anchorage,3,99576,1840023279
10413,Cordova,Cordova,AK,Alaska,2261,Valdez-Cordova,60.5348,-145.6092,2169,13.0,polygon,False,True,America/Anchorage,3,99574,1840023402
10517,Willow,Willow,AK,Alaska,2170,Matanuska-Susitna,61.8157,-149.753,2126,1.0,polygon,False,False,America/Anchorage,3,99688,1840023377
10592,North Pole,North Pole,AK,Alaska,2090,Fairbanks North Star,64.753,-147.36,2094,197.0,polygon,False,True,America/Anchorage,3,99705,1840023464
10593,Anchor Point,Anchor Point,AK,Alaska,2122,Kenai Peninsula,59.7703,-151.7052,2093,8.0,polygon,False,False,America/Anchorage,3,99556,1840023410
10938,Fritz Creek,Fritz Creek,AK,Alaska,2122,Kenai Peninsula,59.747,-151.2884,1956,13.0,polygon,False,False,America/Anchorage,3,99603,1840023672
11102,Prudhoe Bay,Prudhoe Bay,AK,Alaska,2185,North Slope,70.3128,-148.6955,1893,1.0,polygon,False,False,America/Anchorage,3,99519 99734,1840023478
11172,Haines,Haines,AK,Alaska,2100,Haines,59.2417,-135.4549,1870,54.0,polygon,False,False,America/Juneau,3,99827,1840023317
11384,Lazy Mountain,Lazy Mountain,AK,Alaska,2170,Matanuska-Susitna,61.6516,-148.902,1800,11.0,polygon,False,False,America/Anchorage,3,99645,1840023678
